sasdate,P_R0,P_R1,P_R2,P_R3,P_R4,P_R5
2005-01-01,0.14173085917570893,0.16741015563622935,0.16745826590324556,0.18421067958300405,0.15133461819463123,0.18785542150718096
2005-02-01,0.13317870609789323,0.15968057123384555,0.1747634549369956,0.1990090364701546,0.15289308855869524,0.1804751427024158
2005-03-01,0.1336110731757529,0.1761598992549294,0.16070385128074716,0.19429627736238853,0.1558206968612693,0.17940820206491284
2005-04-01,0.119511238650318,0.18245580484398793,0.1722274937136386,0.19150881798134983,0.14899766483358373,0.18529897997712189
2005-05-01,0.1318448886154181,0.19507412862799473,0.17249385320709065,0.17278382165364134,0.14813532150545056,0.17966798639040454
2005-06-01,0.12754086745693038,0.17014961998846317,0.18185036896290566,0.18726658814956268,0.15290277610610625,0.18028977933603182
2005-07-01,0.13680627706653448,0.15672590418673651,0.1782391698196538,0.19470212708732673,0.1580545411668035,0.17547198067294495
2005-08-01,0.1249878200168081,0.17892869453584723,0.17471243729841673,0.19551660407351285,0.14595747245257776,0.17989697162283735
2005-09-01,0.1561261537248993,0.15210773772588168,0.18091378400020408,0.17558611849812766,0.16145109101156901,0.1738151150393182
2005-10-01,0.16715152950446524,0.19600465244885326,0.15397206764016355,0.1693895853430492,0.15031583426815107,0.1631663307953176
2005-11-01,0.15555205814130663,0.20024807810257844,0.1594641844983584,0.1722942264370036,0.15021289783153743,0.1622285549892155
2005-12-01,0.1392724923697126,0.1566449108409453,0.18646882777001056,0.18689824100208693,0.15858503612642347,0.17213049189082127
2006-01-01,0.14070860026477552,0.1565929304062994,0.1833368023951129,0.1912280954912326,0.1611063760031341,0.16702719543944536
2006-02-01,0.15387536056503343,0.2036451941218521,0.16201572192378524,0.16831565484969854,0.14988481124969238,0.16226325728993823
2006-03-01,0.12918871881622163,0.1688889563049153,0.18314900389425684,0.19566022604040165,0.15741018209623991,0.1657029128479648
2006-04-01,0.1345483960609885,0.1636110229680598,0.1839489642778497,0.19266142337509976,0.16007799811506704,0.16515219520293514
2006-05-01,0.12698924276997373,0.19562339432566572,0.17798781011490783,0.17848122646567183,0.14919479100077887,0.17172353532300216
2006-06-01,0.1314779955880603,0.183062259295552,0.1753308302085445,0.18552590014277862,0.15895532322172568,0.16564769154333894
2006-07-01,0.13544868609021343,0.17112371085302341,0.1881046297953113,0.17724413115840992,0.15931784912582142,0.16876099297722058
2006-08-01,0.1268720289457545,0.18079393223198917,0.19593823399755192,0.17233298397284005,0.1531470778590867,0.17091574299277776
2006-09-01,0.16947323129591518,0.19801413379268817,0.1691194287311976,0.14913969505597593,0.15471525152952587,0.15953825959469725
2006-10-01,0.15282165183361607,0.17340193619998664,0.18324660464926773,0.16560594038038942,0.16215530670258832,0.16276856023415182
2006-11-01,0.15579226778846492,0.15288061023253546,0.18937765520043792,0.17375284753488363,0.16284157802061391,0.16535504122306413
