sasdate_t,sasdate_tp1,hard_label_t,pca_p_components,typical_k_r,p_R0_t,ptp1_R0,p_R1_t,ptp1_R1,p_R2_t,ptp1_R2,p_R3_t,ptp1_R3,p_R4_t,ptp1_R4,p_R5_t,ptp1_R5
2014-09-01,2014-10-01,4,30,5,0.13660362927388223,0.11138486445569842,0.17081560764988807,0.13109447878032934,0.17761994586181096,0.19173174446328434,0.15999714267261111,0.13508331919150146,0.1890301488203072,0.12370639045671196,0.1659335257215005,0.10005721552590813
2014-10-01,2014-11-01,5,30,5,0.1497920956206817,0.20235302020698345,0.16461688260293159,0.11967692611169527,0.1777267299104755,0.13256307513366505,0.16493399976656517,0.10292783001772315,0.15055478426280805,0.07134687116683085,0.19237550783653806,0.13812768175970042
2014-11-01,2014-12-01,5,30,5,0.16586640704429156,0.08930177242671188,0.1567825377185128,0.0779780042019553,0.16319165520928355,0.15999761907838586,0.17145234818011104,0.08915454689950847,0.150709908953738,0.18490188605941313,0.19199714289406303,0.22549429864883191
2014-12-01,2015-01-01,2,30,5,0.15544524706425505,0.09025246355679922,0.1567550729137763,0.18811475927010612,0.18909402788781812,0.12879883672353842,0.15764633507636736,0.11345932834956862,0.16380667891397457,0.23387122137225663,0.1772526381438087,0.07255136178379677
2015-01-01,2015-02-01,5,30,5,0.17055559557303412,0.1573705837656922,0.16705754459838398,0.06674711962400362,0.15486570944295364,0.245521339382773,0.14627853929453788,0.07529336609133208,0.16809660539956492,0.09291942566577217,0.1931460056915256,0.08340637043048137
2015-02-01,2015-03-01,4,30,5,0.16482755461880386,0.09263060088278496,0.1694223114273436,0.12174924515947068,0.15764266929840032,0.18411243704849778,0.16630105306572912,0.087029858802298,0.1874106671005349,0.12116132190011383,0.15439574448918839,0.15689198138381283
2015-03-01,2015-04-01,5,30,5,0.16597046608356553,0.14890049732184463,0.1618500218135824,0.2840952590385675,0.16423011735558515,0.08548695861111301,0.17021476588908666,0.10688903952723282,0.1534892341589147,0.17639866133428916,0.1842453946992655,0.08353308241568805
2015-04-01,2015-05-01,5,30,5,0.14904488582595568,0.08377759369755106,0.1569612293258873,0.17677458092455622,0.17580380169921775,0.16488616233920778,0.16752780667698125,0.10956182801115892,0.16389434281793122,0.1775350740715805,0.1867679336540269,0.09625288128039818
2015-05-01,2015-06-01,5,30,5,0.1438560590835249,0.1530098537617643,0.16940721493659838,0.07065401884263495,0.1686324628841659,0.1263133697657291,0.16643575642298497,0.10682168121763108,0.17163895048659508,0.15784024127052151,0.18002955618613078,0.22191067539015283
2015-06-01,2015-07-01,3,30,5,0.1513058649748193,0.12062159982737236,0.16047140935781637,0.10547256284862563,0.15967875676163157,0.1384927929000282,0.19142942857058398,0.09140220128061728,0.16686685856254985,0.10031477070797588,0.170247681772599,0.24932358553043382
2015-07-01,2015-08-01,5,30,5,0.16414661154721072,0.13020907175448254,0.16016167649727633,0.11949764486300557,0.1449265063670825,0.08313129393074344,0.17033060064416217,0.2389738002670938,0.16825129900153932,0.1213432237090683,0.19218330594272898,0.09250597197156087
