sasdate_tp1,sasdate_t,ret_lo_2,ret_lo_3,ret_lo_4,ret_spy,ret_ew
2004-08-01,2004-07-01,0.026121624874550293,0.018094760846855157,0.015701816541820058,0.0022505373491226,0.005363937858434099
2004-09-01,2004-08-01,0.0,0.0,0.0,0.0251807324462574,0.02819350091636753
2004-10-01,2004-09-01,0.0,0.0,0.0,-0.0012320293833688,0.0022645543524333796
2004-11-01,2004-10-01,0.08131924829875366,0.08043176249845349,0.073950519128965,0.0535048335992864,0.054940257739095735
2004-12-01,2004-11-01,-0.009109087252354693,-0.008649063342619919,-0.00473286353860981,0.0137412349024872,0.00755487397819356
2005-01-01,2004-12-01,-0.014273074823118922,-0.021763066323541462,-0.010092447439413316,-0.0115549487871358,0.0007043507841289001
2005-02-01,2005-01-01,0.00548754590200484,0.005497507197070605,0.005497507197070605,0.0195108201115608,0.02858036712168504
2005-03-01,2005-02-01,0.01963702338172147,0.006351059757649667,0.002363746407335952,-0.0275406024455909,-0.021336515921646614
2005-04-01,2005-03-01,-0.06055664564369649,-0.034969195591265906,-0.0326119391439916,-0.0087712756678213,-0.01278773809369656
2005-05-01,2005-04-01,0.052049954186971434,0.04607716487758799,0.037397125097204165,0.0352230282876075,0.03146164494941655
2005-06-01,2005-05-01,-0.012568438089461963,0.014305287749258447,0.023743177911940454,-0.0040459191945203,0.0010619442213944408
2005-07-01,2005-06-01,0.029888974154350486,0.027833444590866518,0.02804247597374355,0.0344681718424535,0.03537014437075513
2005-08-01,2005-07-01,0.061776381143910895,0.04480878752347809,0.035345631792204735,-0.0093812685032608,-0.004557012437143451
2005-09-01,2005-08-01,0.022085911207280335,0.025265996253917792,0.0174443966641301,0.0051587028394981,0.008654782109391721
2005-10-01,2005-09-01,-0.049115874071225925,-0.04294277041087979,-0.038829123955950944,-0.0172106125122829,-0.02488471316778593
2005-11-01,2005-10-01,0.030614515588468304,0.03604724492652356,0.039359732978739764,0.0514566383610841,0.051861924704846254
2005-12-01,2005-11-01,0.028026137138306324,0.02318480981951896,0.020727492833264416,0.0053802229718995,0.01071773942333253
2006-01-01,2005-12-01,0.05185086553003903,0.042943418716309203,0.03444199976054047,0.0133386572230533,0.014947877199695517
2006-02-01,2006-01-01,-0.03848738167747367,-0.03022806090574861,-0.025011236731691516,0.0076331887848701,0.005289864239162771
2006-03-01,2006-02-01,-0.002762616465952182,0.00019463753461786137,0.006462667751843983,0.0067701797275181,0.00742805635363279
2006-04-01,2006-03-01,0.02089921221953736,0.007256550705857869,0.00966639896762931,0.0051643687407167,0.009876108868289088
2006-05-01,2006-04-01,-0.03842957721228907,-0.030621267964150135,-0.026602879499315047,-0.0128060797841201,-0.010180895678121908
2006-06-01,2006-05-01,0.0007436026269760755,-0.002023194418551581,-0.004514922639735403,-0.0028370112563029,0.00255780550981602
2006-07-01,2006-06-01,0.01779177734502987,0.0036885699785325302,-0.008889867088288685,-0.0045381609960816,-0.007905880034547999
2006-08-01,2006-07-01,0.022402532312412207,0.02186142907425264,0.02186142907425264,0.0330138029860531,0.03138703708527099
2006-09-01,2006-08-01,0.021026847580434774,0.011213355606158486,0.01629380695404151,0.0170847086245224,0.00857157758025943
2006-10-01,2006-09-01,0.017997332191594228,0.027386509492050508,0.03148356094467211,0.0284042349853426,0.03282946170761655
2006-11-01,2006-10-01,0.06475766204649497,0.053412047565067566,0.04409117491133137,0.0245504276616117,0.026409238913355886
2006-12-01,2006-11-01,0.031114425627602766,0.0008773576233154275,0.0029659178603633303,0.0138185170627032,0.01140502199455123
2007-01-01,2006-12-01,0.02618718383546225,0.02291560046956033,0.01883342401418419,0.0229185842784496,0.02468955374996685
2007-02-01,2007-01-01,0.002087640435976,-0.00017088997646485214,-0.00017088997646485214,-0.0283519651505785,-0.017212489541412978
2007-03-01,2007-02-01,0.06704791812966769,0.05967510028932882,0.055500300466940246,0.0157558795025571,0.02296285888585709
2007-04-01,2007-03-01,0.038594026237172493,0.035277851206086036,0.03804728232656428,0.0457933651002107,0.03980855529515038
